,故宫博物院,八达岭长城,中国国家博物馆,颐和园,恭王府,中国人民革命军事博物馆,天坛,中国科学技术馆,圆明园,慕田峪长城,北京动物园,北京海洋馆,北京欢乐谷,南锣鼓巷
故宫博物院,NA,14.0,4.0,5.0,2.0,3.0,3.0,4.0,6.0,20.0,4.0,4.0,5.0,2.0
八达岭长城,14.0,NA,14.0,17.0,14.0,16.0,14.0,14.0,13.0,55.0,14.0,14.0,17.0,14.0
中国国家博物馆,4.0,14.0,NA,5.0,3.0,4.0,2.0,4.0,8.0,20.0,4.0,4.0,5.0,3.0
颐和园,5.0,17.0,5.0,NA,5.0,5.0,5.0,5.0,2.0,20.0,4.0,4.0,6.0,5.0
恭王府,2.0,14.0,3.0,5.0,NA,4.0,4.0,4.0,5.0,18.0,4.0,4.0,5.0,3.0
中国人民革命军事博物馆,3.0,16.0,4.0,5.0,4.0,NA,4.0,5.0,5.0,21.0,3.0,2.0,5.0,4.0
天坛,3.0,14.0,2.0,5.0,4.0,4.0,NA,5.0,5.0,40.0,4.0,4.0,4.0,3.0
中国科学技术馆,4.0,14.0,4.0,5.0,4.0,5.0,5.0,NA,4.0,17.0,4.0,4.0,6.0,4.0
圆明园,6.0,13.0,8.0,2.0,5.0,5.0,5.0,4.0,NA,20.0,4.0,4.0,6.0,5.0
慕田峪长城,20.0,55.0,20.0,20.0,18.0,21.0,40.0,17.0,20.0,NA,18.0,18.0,45.0,32.0
北京动物园,4.0,14.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,18.0,NA,2.0,5.0,4.0
北京海洋馆,4.0,14.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,18.0,2.0,NA,5.0,4.0
北京欢乐谷,5.0,17.0,5.0,6.0,5.0,5.0,4.0,6.0,6.0,45.0,5.0,5.0,NA,5.0
南锣鼓巷,2.0,14.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,32.0,4.0,4.0,5.0,NA
