,故宫博物院,八达岭长城,中国国家博物馆,颐和园,恭王府,中国人民革命军事博物馆,天坛,中国科学技术馆,圆明园,慕田峪长城,北京动物园,北京海洋馆,北京欢乐谷,南锣鼓巷
故宫博物院,NA,9303,3032,4559,2563,2457,2332,4000,5740,11757,2920,3589,3996,2648
八达岭长城,9303,NA,9595,9165,7931,8129,9252,9853,11110,18254,7653,8279,11208,8178
中国国家博物馆,3032,9595,NA,3725,2124,1623,1523,3016,4707,10839,2086,2755,3079,1627
颐和园,4559,9165,3725,NA,3380,2920,3492,3773,3093,11788,2209,2879,5232,3526
恭王府,2563,7931,2124,3380,NA,2157,1820,2802,4033,11189,1740,2410,3357,1317
中国人民革命军事博物馆,2457,8129,1623,2920,2157,NA,1798,3465,3928,11289,1638,2477,3538,2076
天坛,2332,9252,1523,3492,1820,1798,NA,2753,4273,12710,1935,2604,2298,1365
中国科学技术馆,4000,9853,3016,3773,2802,3465,2753,NA,5117,11177,2920,3590,4703,2258
圆明园,5740,11110,4707,3093,4033,3928,4273,5117,NA,14096,3328,3997,6057,4079
慕田峪长城,11757,18254,10839,11788,11189,11289,12710,11177,14096,NA,11852,12478,12608,12339
北京动物园,2920,7653,2086,2209,1740,1638,1935,2920,3328,11852,NA,1740,3578,1872
北京海洋馆,3589,8279,2755,2879,2410,2477,2604,3590,3997,12478,1740,NA,4247,2541
北京欢乐谷,3996,11208,3079,5232,3357,3538,2298,4703,6057,12608,3578,4247,NA,3220
南锣鼓巷,2648,8178,1627,3526,1317,2076,1365,2258,4079,12339,1872,2541,3220,NA
