,故宫博物院,八达岭长城,中国国家博物馆,颐和园,恭王府,中国人民革命军事博物馆,天坛,中国科学技术馆,圆明园,慕田峪长城,北京动物园,北京海洋馆,北京欢乐谷,南锣鼓巷
故宫博物院,NA,286.0,13.0,81.0,21.0,31.0,15.0,37.0,62.0,281.0,37.0,29.0,51.0,17.0
八达岭长城,286.0,NA,270.0,231.0,236.0,278.0,275.0,218.0,234.0,364.0,251.0,250.0,306.0,240.0
中国国家博物馆,13.0,270.0,NA,77.0,22.0,28.0,15.0,50.0,64.0,304.0,35.0,30.0,56.0,22.0
颐和园,81.0,231.0,77.0,NA,59.0,50.0,82.0,48.0,18.0,304.0,39.0,47.0,129.0,65.0
恭王府,21.0,236.0,22.0,59.0,NA,33.0,24.0,39.0,55.0,279.0,26.0,20.0,64.0,13.0
中国人民革命军事博物馆,31.0,278.0,28.0,50.0,33.0,NA,30.0,59.0,50.0,313.0,22.0,22.0,76.0,36.0
天坛,15.0,275.0,15.0,82.0,24.0,30.0,NA,59.0,77.0,318.0,41.0,36.0,55.0,28.0
中国科学技术馆,37.0,218.0,50.0,48.0,39.0,59.0,59.0,NA,52.0,247.0,45.0,44.0,86.0,34.0
圆明园,62.0,234.0,64.0,18.0,55.0,50.0,77.0,52.0,NA,300.0,36.0,44.0,125.0,61.0
慕田峪长城,281.0,364.0,304.0,304.0,279.0,313.0,318.0,247.0,300.0,NA,291.0,293.0,304.0,267.0
北京动物园,37.0,251.0,35.0,39.0,26.0,22.0,41.0,45.0,36.0,291.0,NA,13.0,89.0,25.0
北京海洋馆,29.0,250.0,30.0,47.0,20.0,22.0,36.0,44.0,44.0,293.0,13.0,NA,93.0,28.0
北京欢乐谷,51.0,306.0,56.0,129.0,64.0,76.0,55.0,86.0,125.0,304.0,89.0,93.0,NA,69.0
南锣鼓巷,17.0,240.0,22.0,65.0,13.0,36.0,28.0,34.0,61.0,267.0,25.0,28.0,69.0,NA
