,故宫博物院,八达岭长城,中国国家博物馆,颐和园,恭王府,中国人民革命军事博物馆,天坛,中国科学技术馆,圆明园,慕田峪长城,北京动物园,北京海洋馆,北京欢乐谷,南锣鼓巷
故宫博物院,NA,3972,538,2070,992,1213,857,1635,2023,5105,1643,1231,1633,957
八达岭长城,3972,NA,4091,3639,3567,4038,4393,3271,4151,5636,3777,3727,4367,3811
中国国家博物馆,538,4091,NA,2395,1046,1040,670,1808,2621,5122,1471,1149,1856,1095
颐和园,2070,3639,2395,NA,1706,1453,2103,1383,864,4977,1244,1475,2509,1893
恭王府,992,3567,1046,1706,NA,1494,1194,1265,1775,4588,1152,920,2060,695
中国人民革命军事博物馆,1213,4038,1040,1453,1494,NA,1132,1419,1886,4853,1027,676,2106,1445
天坛,857,4393,670,2103,1194,1132,NA,2150,2274,5032,1840,1197,1536,1503
中国科学技术馆,1635,3271,1808,1383,1265,1419,2150,NA,1933,4221,1532,1478,1815,1591
圆明园,2023,4151,2621,864,1775,1886,2274,1933,NA,4742,1165,1379,2515,1817
慕田峪长城,5105,5636,5122,4977,4588,4853,5032,4221,4742,NA,4700,4600,4658,4434
北京动物园,1643,3777,1471,1244,1152,1027,1840,1532,1165,4700,NA,266,1887,1021
北京海洋馆,1231,3727,1149,1475,920,676,1197,1478,1379,4600,266,NA,2277,1312
北京欢乐谷,1633,4367,1856,2509,2060,2106,1536,1815,2515,4658,1887,2277,NA,2147
南锣鼓巷,957,3811,1095,1893,695,1445,1503,1591,1817,4434,1021,1312,2147,NA
